timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2019/04/15 15:58:46.381, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.382, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.383, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.385, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.506, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.506, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.507, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.507, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.628, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.629, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.629, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.630, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.750, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.751, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.751, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.752, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.873, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.873, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.874, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.874, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.995, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.996, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.996, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:46.996, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.117, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.118, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.118, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.119, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.239, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.240, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.240, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.241, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.361, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.362, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.362, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.363, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.484, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.484, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.485, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.485, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.606, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.606, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.607, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.607, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.728, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.729, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.729, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.730, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.850, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.851, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.851, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.852, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.972, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.973, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.974, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:47.974, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.095, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.095, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.096, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.096, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.217, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.218, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.218, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.219, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.339, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.340, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.340, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.341, 3, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.462, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.462, 1, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 15:58:48.463, 2, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
