timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2019/04/15 01:13:44.032, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.154, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.274, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.395, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.515, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.636, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.757, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.877, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.998, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.119, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.239, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.360, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.480, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.601, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.722, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.843, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.963, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:46.084, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:46.205, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
