timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2019/04/15 01:13:44.022, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.144, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.264, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.385, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.505, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.626, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.746, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.867, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:44.988, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.108, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.229, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.350, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.470, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.591, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.712, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.832, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:45.953, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:46.074, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:46.194, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:46.315, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:46.436, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:46.556, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:46.677, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:46.797, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:46.918, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:47.039, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:47.159, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:47.280, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:47.401, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
2019/04/15 01:13:47.521, 0, Tesla P40, 0 %, 0 %, 0 MiB, 22919 MiB
